range,channel,freq
2.4,1,2412
2.4,2,2417
2.4,3,2422
2.4,4,2427
2.4,5,2432
2.4,6,2437
2.4,7,2442
2.4,8,2447
2.4,9,2452
2.4,10,2457
2.4,11,2462
2.4,12,2467
2.4,13,2472
2.4,14,2484
5,183,4915
5,184,4920
5,185,4925
5,187,4935
5,188,4940
5,189,4945
5,192,4960
5,196,4980
5,7,5035
5,8,5040
5,9,5045
5,11,5055
5,12,5060
5,16,5080
5,34,5170
5,36,5180
5,38,5190
5,40,5200
5,42,5210
5,44,5220
5,46,5230
5,48,5240
5,52,5260
5,56,5280
5,60,5300
5,64,5320
5,100,5500
5,104,5520
5,108,5540
5,112,5560
5,116,5580
5,120,5600
5,124,5620
5,128,5640
5,132,5660
5,136,5680
5,140,5700
5,149,5745
5,153,5765
5,157,5785
5,161,5805
5,165,5825
